1	2	3	4	5	6	7	8	9	10
GAS2L2	7.182298	6.826853	7.255738	6.934389	7.179743	6.954922	7.050707	7.020003	7.126041	7.042959
KCNG4	6.80017	6.600898	6.950126	6.700723	6.642724	6.723159	6.738852	6.612195	6.872545	6.700591
PXT1	6.239514	6.253246	6.2238	6.084003	6.15634	6.071371	6.146098	6.028933	6.011467	6.128525
FAM223A	6.329319	6.296453	6.472693	6.308725	6.289715	6.220749	6.083543	6.336381	6.286313	6.329162
WFDC11	6.541583	6.531383	6.491147	6.450596	6.432979	6.49639	6.427806	6.317903	6.331283	6.493185
SPRR4	7.841041	7.469384	8.104293	7.478548	7.773527	7.367582	7.917102	8.845181	7.950122	7.80438
HSH2D	6.624465	6.249305	6.614267	6.828921	7.003527	6.500856	6.989303	6.221968	6.911809	6.325201
ARSG	6.271402	6.559472	6.299393	6.446076	6.557303	6.330847	6.651875	6.660048	6.558423	6.338397
LOC84989	6.990599	6.707115	7.03036	7.046896	6.719586	6.783791	6.628777	6.662888	6.87588	6.738127
RFX6	6.003425	6.001508	5.955321	5.911954	5.949083	6.027967	5.914443	5.7467	5.827103	5.985431
DIRC1	6.162902	5.927433	6.09142	5.994507	6.069945	5.941992	6.010795	5.949983	5.998233	6.100415
DNAJB7	5.926552	5.992389	5.811125	5.84613	6.00807	5.866694	5.992114	5.776532	5.866694	5.772473
UCN3	6.570886	6.383503	6.795297	6.491017	6.773211	6.553394	6.55452	6.606709	6.925062	6.538348
TUBA3FP	6.770082	6.735525	7.135299	6.559294	6.862629	7.028686	6.637474	6.683745	7.374906	6.700072
CREG2	6.569253	6.58969	6.509562	6.23339	6.125391	7.094382	6.955979	6.332676	6.386007	6.277887
RHOXF1	6.530821	6.484028	6.580825	6.450607	6.587926	6.429629	6.578507	6.575228	6.65317	6.371252
DHH	6.126567	5.977677	6.188579	6.072099	6.148497	6.113766	6.138249	5.975712	6.335857	6.007793
PCDHGA4	6.738563	7.930668	6.806223	6.923894	6.799939	7.573239	6.872981	7.70383	7.674477	6.921167
